ID,sci-name,latitude,longitude,dia-cm,gender,notes
2-638,Fraxinus americana,36.147729,-86.802057,111,male,gender documented with phone photo
2-861,Fraxinus americana,36.148634,-86.801986,101,unknown,Damaged in storm 2014-09 and removed.
2-284,Fraxinus americana,36.148885,-86.803066,95,male,gender documented with phone photo
2-1006,Fraxinus americana,36.148788,-86.803243,90,female,gender documented with phone photo
5-151,Fraxinus americana,36.141063,-86.80769,87.85352859,male,gender documented with phone photo
4-1292,Fraxinus americana,36.143663,-86.80362,85.5,male,gender documented with phone photo
4-829,Fraxinus americana,36.144035,-86.803593,81,male,gender documented with phone photo
4-1245,Fraxinus americana,36.144598,-86.799891,80.85071109,female,observed fruiting in previous year
3-702,Fraxinus americana,36.146213,-86.807283,80.5324012,female,gender documented with phone photo
3-99,Fraxinus pennsylvanica,36.145787,-86.80696,74,female,gender documented with phone photo
5-1101,Fraxinus americana,36.141168,-86.807675,73.84789359,male,gender documented with phone photo
3-43,Fraxinus pennsylvanica,36.145847,-86.806999,72,female,gender documented with phone photo
5-463,Fraxinus americana,36.142329,-86.80511,70.5,male,gender documented with phone photo
4-6,Fraxinus pennsylvanica,36.13898,-86.803425,70.34648485,,
5-570,Fraxinus americana,36.142322,-86.804936,70.34648485,female,gender documented with phone photo
2-256,Fraxinus americana,36.147376,-86.801038,69,male,gender documented with phone photo
4-195,Fraxinus americana,36.144433,-86.802484,68.43662553,female,gender documented with phone photo
2-1012,Fraxinus americana,36.146489,-86.80004,67.80000576,female,gender documented with phone photo
3-283,Fraxinus americana,36.145671,-86.807007,63.02535746,male,gender documented with phone photo
9-378,Fraxinus pennsylvanica,36.143974,-86.797071,61,male,gender documented with phone photo
3-377,Fraxinus americana,36.145996,-86.804292,60.96,male,gender documented with phone photo
3-617,Fraxinus americana,36.147271,-86.805386,60.16056849,female,gender documented with phone photo
2-925,Fraxinus pennsylvanica,36.147405,-86.803261,60,male,gender documented with phone photo
9-2,Fraxinus americana,36.144868,-86.797297,57,female,gender documented with phone photo
1-590,Fraxinus americana,36.141683,-86.798339,56.18169491,female,gender documented with photo
2-537,Fraxinus pennsylvanica,36.148783,-86.801671,54,female,gender documented with phone photo
4-533,Fraxinus americana,36.143152,-86.801134,53.79437077,,
4-1119,Fraxinus americana,36.143094,-86.801077,52.83944111,,
4-720,Fraxinus pennsylvanica,36.137989,-86.802608,52.52113122,,
5-1516,Fraxinus pennsylvanica,36.14198,-86.81079,52.04366639,,
9-157,Fraxinus pennsylvanica,36.138949,-86.797626,51.56620156,,
2-544,Fraxinus pennsylvanica,36.146804,-86.801829,51,female,gender documented with phone photo
5-1211,Fraxinus pennsylvanica,36.141299,-86.812622,50.6112719,,
3-374,Fraxinus pennsylvanica,36.147973,-86.804266,49,female,gender documented with phone photo
3-353,Fraxinus pennsylvanica,36.145762,-86.80694,46,male,gender documented with phone photo
9-10,Fraxinus pennsylvanica,36.144904,-86.79729,44,female,gender documented with phone photo
4-1052,Fraxinus americana,36.14344,-86.80551,43.60845441,female,gender documented with phone photo
3-650,Fraxinus americana,36.147126,-86.806399,43,,
4-1289,Fraxinus pennsylvanica,36.138732,-86.802123,41.85775003,,
4-497,Fraxinus pennsylvanica,36.142911,-86.800316,41,female,gender documented with phone photo
4-746,Fraxinus pennsylvanica,36.137946,-86.801142,41,,
5-268,Fraxinus pennsylvanica,36.141472,-86.806549,40.74366543,female,gender documented with phone photo
3-216,Fraxinus americana,36.145799,-86.804696,38.80197513,male,gender documented with phone photo
4-1218,Fraxinus pennsylvanica,36.138576,-86.80271,38.19718634,,
5-1419,Fraxinus pennsylvanica,36.141689,-86.812925,38.19718634,,
3-754,Fraxinus americana,36.147594,-86.803694,38.16535535,male,gender documented with phone photo
4-939,Fraxinus pennsylvanica,36.143076,-86.800935,38,,
2-684,Fraxinus americana,36.148232,-86.80116,37.56056657,female,gender documented with phone photo
5-1255,Fraxinus pennsylvanica,36.140586,-86.811783,37.24225668,,
4-343,Fraxinus pennsylvanica,36.13903,-86.803957,37.08310174,,
1-961,Fraxinus pennsylvanica,36.141217,-86.79911,36.82845383,female,gender documented with photo
2-815,Fraxinus americana,36.146936,-86.801442,36.60563691,male,gender documented with phone photo
9-172,Fraxinus pennsylvanica,36.139491,-86.797769,36.44648197,,
4-341,Fraxinus pennsylvanica,36.142921,-86.800399,36,female,gender documented with photo
4-376,Fraxinus pennsylvanica,36.139058,-86.804237,35.33239737,,
4-816,Fraxinus pennsylvanica,36.13897,-86.80465,35.01408748,,
1-200,Fraxinus pennsylvanica,36.143805,-86.798431,35,female,gender documented with phone photo
4-560,Fraxinus pennsylvanica,36.138045,-86.801366,34.72760858,,
4-937,Fraxinus pennsylvanica,36.137954,-86.801243,34.37746771,,
5-743,Fraxinus pennsylvanica,36.142926,-86.810264,34.05915782,,
1-734,Fraxinus americana,36.143762,-86.798827,34,female,gender documented with phone photo
4-52,Fraxinus pennsylvanica,36.138064,-86.801628,34,,
4-334,Fraxinus pennsylvanica,36.138706,-86.801987,33.90000288,,
4-773,Fraxinus pennsylvanica,36.139017,-86.803822,33.42253805,,
1-374,Fraxinus pennsylvanica,36.143826,-86.798654,33,male,gender documented with phone photo
3-122,Fraxinus pennsylvanica,36.145735,-86.805912,32.78591828,,
4-1120,Fraxinus pennsylvanica,36.142485,-86.800258,32.78591828,,
4-370,Fraxinus pennsylvanica,36.138945,-86.80435,32.53127037,,
3-607,Fraxinus pennsylvanica,36.147484,-86.805224,32.46760839,,
4-820,Fraxinus pennsylvanica,36.138695,-86.801863,32.1492985,,
5-1323,Fraxinus pennsylvanica,36.143378,-86.811075,32.1492985,,
