Big trees,,2014-04-03,,,,,,,,,,,,,
,largest DBH of species in orange,,,,,,,,,,,,,,
ID,species,latitude,longitude,dbh (cm),dia. (in.),date measured,est. height (m),est. height (ft.),est. ave. crown spread (m),est. ave. crown spread (ft.),date measured,"""points""",Notes:,GUID (if assigned),
2-1030,Quercus phellos,36.146045,-86.800507,135,53.1,2014-03-25,31.7,104,29.3,96,2014-04-08,295,By steps from Divinity School towards 21st Av.,http://bioimages.vanderbilt.edu/vanderbilt/6-188,
2-244,Celtis laevigata,36.146374,-86.800944,146,57.5,2014-03-25,28.5,94,21.0,69,2014-04-08,291,Divinity School courtyard,none,
2-691,Quercus macrocarpa,36.146422,-86.802184,149,58.7,2014-03-25,25.0,82,30.0,98,2014-04-08,291,"Bicentennial Oak, has plaque",http://bioimages.vanderbilt.edu/vanderbilt/7-314,
2-123,Quercus falcata,36.144793,-86.800025,132,52.0,2014-03-25,32.0,105,27.5,90,2014-04-08,291,Large tree in front of Godchaux Hall (nursing bldg),http://bioimages.vanderbilt.edu/vanderbilt/6-60,
3-589,Ulmus americana,36.14617,-86.805047,125,49.2,2014-03-27,31.0,102,30.0,98,2014-04-10,281,On 24th Ave. S. by B O Pi house,none,
9-379,Quercus phellos,36.143895,-86.796852,154,60.6,2014-03-27,23.0,75,18.0,59,2014-04-08,281,Between the ROTC building and Edgehill Ave.; dbh might be inflated due to ivy on trunk,none,
2-795,Quercus phellos,36.146066,-86.799863,117,46.1,2014-03-25,32.0,105,26.0,85,2014-04-09,271,Near 21st Ave crosswalk and library loading dock entrance,http://bioimages.vanderbilt.edu/vanderbilt/6-193,
2-1021,Quercus shumardii,36.147533,-86.801243,128,50.4,2014-03-25,27.0,89,28.0,92,2014-04-10,270,south of the front door of Furman Hall,none,
2-161,Quercus alba,36.148835,-86.801615,117,46.1,2014-03-28,28.0,92,34.5,113,2014-05-05,265,beteen Kirkland and Curry Field,none,
4-487,Magnolia grandiflora,36.146058,-86.802075,134.5,53.0,2014-03-26,25.0,82,17.8,58,2014-04-08,263,"front Buttrick, second n. of entry walk",none,
4-855,Celtis laevigata,36.144347,-86.804361,123,48.4,2014-03-26,29.0,95,17.5,57,2014-04-10,262,west of Community Partnership House,none,
1-683,Quercus rubra,36.142294,-86.798446,118,46.5,2014-03-28,29.5,97,20.5,67,2014-04-07,260,Peabody Esplanade by the Payne building,http://bioimages.vanderbilt.edu/vanderbilt/15-227,
2-437,Quercus imbricaria,36.145406,-86.800296,114,44.9,2014-03-24,30.2,99,20.0,66,2014-04-18,256,Up against south side of Central Library,http://bioimages.vanderbilt.edu/vanderbilt/6-86,
2-253,Celtis laevigata,36.147456,-86.800894,126,49.6,2014-03-25,22.0,72,27.8,91,2014-04-10,251,Between Law School and Calhoun,none,
2-638,Fraxinus americana,36.147729,-86.802057,111,43.7,2014-03-25,28.0,92,24.5,80,2014-05-05,249,"west of Furman, north of Benson",none,
2-402,Liriodendron tulipifera,36.148034,-86.801744,118,46.5,2014-03-25,26.2,86,21.0,69,2014-06-27,249,northwest corner of Furman Hall,none,
4-522,Celtis laevigata,36.144268,-86.804065,131,51.6,2014-03-26,20.0,66,22.5,74,2014-04-10,246,south of Community Partnership House,none,
3-419,Quercus rubra,36.147949,-86.804061,106,41.7,2014-03-26,28.1,92,26.0,85,2014-06-27,245,north end of Alumni Lawn,none,
3-62,Populus deltoides,36.146698,-86.805678,110,43.3,2014-03-26,27.0,89,20.0,66,2014-05-05,241,Kensington and 24th Ave. S.,none,
3-327,Quercus shumardii,36.1465,-86.804112,104,40.9,2014-03-28,27.4,90,25.5,84,2014-06-27,239,Big Al's twin on the other side of the sidewalk in front of Cole Hall,http://bioimages.vanderbilt.edu/vanderbilt/7-225,
9-4,Tilia americana,36.144892,-86.797361,124.5,49.0,2014-03-29,21.0,69,19.3,63,2014-04-10,239,in front of 1110 19th Ave. S.,none,
1-730,Magnolia grandiflora,36.142924,-86.798512,122.5,48.2,2014-03-27,22.5,74,15.0,49,2014-04-10,238,center magnolia in Magnolia Lawn along Magnolia Circle,none,
2-209,Quercus nigra,36.147566,-86.802029,120,47.2,2014-04-03,20.5,67,21.8,71,2014-04-10,234,north of Benson Hall,none,
3-52,Platanus occidentalis,36.146281,-86.804103,103,40.6,2014-03-28,25.0,82,27.5,90,2014-05-05,232,south of Cole Hall,http://bioimages.vanderbilt.edu/vanderbilt/7-205,
4-702,Platanus occidentalis,36.145141,-86.802242,94,37.0,2014-03-25,27.0,89,29.0,95,2014-04-07,229,"Recognize by white bark, largest tree in Stevenson Courtyard",none,
1-429,Magnolia grandiflora,36.143254,-86.798888,120,47.2,2014-03-27,20.0,66,17.5,57,2014-04-10,228,"Magnolia Lawn, east of Kennedy Center",none,
2-411,Maclura pomifera,36.14717,-86.801055,124,48.8,2014-03-27,17.0,56,20.8,68,2014-04-10,226,east of Calhoun Hall,none,
4-943,Magnolia grandiflora,36.145836,-86.802236,109,42.9,2014-03-26,22.0,72,19.0,62,2014-06-27,223,"front Buttrick, s. of entry walk",none,
2-528,Ulmus serotina,36.146864,-86.801839,83,32.7,2014-03-25,28.6,94,20.5,67,2014-04-07,213,Between Benson Hall and Garland Hall,http://bioimages.vanderbilt.edu/vanderbilt/7-340,
2-182,Catalpa speciosa,36.146564,-86.801297,111,43.7,2014-03-27,18.4,60,16.0,52,2014-06-27,211,Between the Divinity School and Garland Hall,none,
2-861,Fraxinus americana,36.148634,-86.801986,101,39.8,2014-03-28,19.5,64,18.0,59,2014-05-05,204,beteen Kirkland and Curry Field,none,
2-185,Ginkgo biloba,36.148559,-86.803091,100,39.4,2014-03-26,18.0,59,23.5,77,2014-05-05,202,"between Kirkland and Barnard Halls; ""Galloway's ginkgo""",http://bioimages.vanderbilt.edu/vanderbilt/2-101,
